ID,Date,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
305,21/08/2017,-26.62889566,-55.66057225,284.965942,2017-08-21T21:47:43Z,,,CC21082017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-21T21:47:43Z
500,21/08/2017,-26.61680074,-55.66831914,255.092163,2017-08-21T13:38:12Z,,,CSR210820175,30,30,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-21T13:38:12Z
CC22082017,22/08/2017,-26.62748675,-55.66079898,,2020-04-23T00:53:50Z,,,CC22082017,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2020-04-23T00:53:50Z
317,23/08/2017,-26.62705391,-55.66075933,278.82019,2017-08-23T14:46:56Z,,,CC23082017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-23T14:46:56Z
324,24/08/2017,-26.62724644,-55.6621452,268.342163,2017-08-24T12:49:28Z,,,CC24082017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-24T12:49:28Z
325,24/08/2017,-26.61906034,-55.66576743,289.06897,2017-08-24T20:03:03Z,,,CC240820171,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-24T20:03:03Z
326,24/08/2017,-26.62557207,-55.66184286,286.754578,2017-08-24T20:46:31Z,,,CC24082017211,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-24T20:46:31Z
327,24/08/2017,-26.62608563,-55.66131497,285.599579,2017-08-25T10:58:36Z,,,CC2408201722,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-25T10:58:36Z
328,24/08/2017,-26.62948759,-55.66037921,272.209106,2017-08-25T13:24:48Z,,,CC2408201731,15,15,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-25T13:24:48Z
329,24/08/2017,-26.62646106,-55.66134891,284.904541,2017-08-24T20:50:55Z,,,CC2408201741,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-24T20:50:55Z
330,24/08/2017,-26.62696581,-55.66180246,281.281769,2017-08-24T21:06:00Z,,,CC2408201751,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-24T21:06:00Z
343,25/08/2017,-26.62804238,-55.66350273,283.278259,2017-08-25T11:39:46Z,,,CC25081741,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-25T11:39:46Z
344,25/08/2017,-26.63258689,-55.66110961,262.162598,2017-08-25T13:52:20Z,,,CC2508201711,15,15,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-25T13:52:20Z
345,25/08/2017,-26.62622242,-55.65979198,299.591125,2017-08-25T10:21:07Z,,,CC2508201721,200M NE,200M NE,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-25T10:21:07Z
346,25/08/2017,-26.62743855,-55.66260209,289.809723,2017-08-25T11:19:51Z,,,CC2508201731,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-25T11:19:51Z
347,25/08/2017,-26.6276854,-55.66001284,288.561615,2017-08-25T10:07:06Z,,,CC250820174,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-25T10:07:06Z
348,25/08/2017,-26.62866902,-55.66381403,280.812378,2017-08-25T11:49:23Z,,,CC2508201751,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-25T11:49:23Z
349,25/08/2017,-26.62862719,-55.66069119,266.556793,2017-08-26T09:47:12Z,,,CC2508201761,10M 2SIDES OF TRAIL,10M 2SIDES OF TRAIL,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-26T09:47:12Z
350,25/08/2017,-26.6285489,-55.66044057,266.556793,2017-08-26T09:47:12Z,,,CC25082017611,10M 2SIDES OF TRAIL,10M 2SIDES OF TRAIL,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-26T09:47:12Z
501,25/08/2017,-26.61745847,-55.66546066,277.092133,2017-08-26T13:16:20Z,,,CSR25082017,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-26T13:16:20Z
360,26/08/2017,-26.62758297,-55.66111196,268.496216,2017-08-26T10:20:36Z,,,CC2608201711,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2017-08-26T10:20:36Z
