ID,Group,Date,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
52,O,18/07/2014,-23.83081304,-56.293115,181.489456,2014-07-18T12:22:04Z,,,MO180714,NADA,NADA,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-18T12:22:04Z
53,O,18/07/2014,-23.83080801,-56.29424597,191.53624,2014-07-18T10:42:08Z,,,MO180714-1,SIGHT,SIGHT,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-18T10:42:08Z
58,O,18/07/2014,-23.82751803,-56.29560904,178.024323,2014-07-18T12:58:54Z,,,MO18714-2,NADA,NADA,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-18T12:58:54Z
78,O,21/07/2014,-23.83090097,-56.29470698,204.430984,2014-07-21T21:26:57Z,,,MO210714,GROUP,GROUP,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-21T21:26:57Z
79,O,21/07/2014,-23.83150304,-56.29464,205.966171,2014-07-21T21:19:30Z,,,MO210714-2,SIGHT,SIGHT,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-21T21:19:30Z
80,O,21/07/2014,-23.82986303,-56.29491703,207.950546,2014-07-21T20:46:53Z,,,MO210714-3,SIGHT,SIGHT,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-21T20:46:53Z
81,O,21/07/2014,-23.82952097,-56.29467596,208.053604,2014-07-21T20:36:51Z,,,MO210714-4,SOUND,SOUND,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-21T20:36:51Z
93,O,22/07/2014,-23.82986404,-56.29497402,200.269318,2014-07-22T10:54:46Z,,,MO220714,SOUND,SOUND,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-22T10:54:46Z
94,O,22/07/2014,-23.830735,-56.29505298,199.820129,2014-07-22T10:37:32Z,,,MO220714-2,SIGHT,SIGHT,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-22T10:37:32Z
95,O,22/07/2014,-23.83135602,-56.29292297,192.529892,2015-07-22T11:03:02Z,,,MO220715-1,"700AM
150M, 270 DEGREES 
EB/RS
1 INDIVIDUAL","700AM
150M, 270 DEGREES 
EB/RS
1 INDIVIDUAL",,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2015-07-22T11:03:02Z
118,O,25/07/2014,-23.83011097,-56.29334701,205.339935,2014-07-25T12:39:44Z,,,MO250714,25-Jul-14,25-Jul-14,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-25T12:39:44Z
527,O,30/07/2014,-23.83132601,-56.29067201,131.899689,2014-07-30T12:41:28Z,,,MO30072014,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-30T12:41:28Z
528,O,30/07/2014,-23.83154201,-56.29062398,142.49794,2014-07-30T12:46:38Z,,,MO300720142,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-30T12:46:38Z
529,O,30/07/2014,-23.83073199,-56.29030203,128.897629,2014-07-30T12:35:28Z,,,MO300720143,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-07-30T12:35:28Z
26,O,14/08/2014,-23.83288404,-56.29354097,221.51622,2014-08-14T20:08:50Z,,,MO140814,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-14T20:08:50Z
33,O,15/08/2014,-23.82813703,-56.29683598,215.62648,2014-08-15T11:01:31Z,,,MO150814,635AM,635AM,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-15T11:01:31Z
386,O,19/08/2014,-23.83324102,-56.29254503,132.8928,2014-08-19T12:58:10Z,,,MO1908290141,12:02,12:02,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-19T12:58:10Z
60,O,19/08/2014,-23.83319803,-56.29254403,198.591446,2014-08-19T13:17:43Z,,,MO190814,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-19T13:17:43Z
61,O,19/08/2014,-23.83318101,-56.292569,199.47818,2014-08-19T13:09:34Z,,,MO190814-2,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-19T13:09:34Z
62,O,19/08/2014,-23.83319702,-56.29255299,199.433853,2014-08-19T13:07:41Z,,,MO190814-3,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-19T13:07:41Z
63,O,19/08/2014,-23.83323901,-56.29254696,133.500549,2014-08-19T13:01:21Z,,,MO190814-4,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-19T13:01:21Z
64,O,19/08/2014,-23.83324102,-56.29254696,133.500549,2014-08-19T13:01:04Z,,,MO190814-5,,,,Waypoint,user,,,,,,,,,,,SymbolAndName,,,2014-08-19T13:01:04Z
